(1/5) Starting Filesystem Observer
(2/5) Starting Database
(3/5) Starting Workers
(4/5) Starting Simulations
(5/5) Starting Deleter
Solving conduit eqtn.
Solving conduit eqtn.
 Time interval:  [0,600]
 Time interval:  [0,600]
Time = 0, inc = 1/600
Time = 0, inc = 1/600
Time = 137.2287, inc = 138/600, computation time left = 0d 2h 34m 57.0173s
Time = 89.1486, inc = 90/600, computation time left = 0d 4h 22m 21.228s
Time = 90.1503, inc = 91/600, computation time left = 0d 4h 21m 25.6937s
Time = 138.2304, inc = 139/600, computation time left = 0d 2h 35m 1.4681s
Time = 91.1519, inc = 92/600, computation time left = 0d 4h 20m 2.7063s
Time = 139.2321, inc = 140/600, computation time left = 0d 2h 35m 29.9242s
Time = 92.1536, inc = 93/600, computation time left = 0d 4h 18m 54.4785s
Time = 93.1553, inc = 94/600, computation time left = 0d 4h 17m 46.4583s
Time = 140.2337, inc = 141/600, computation time left = 0d 2h 36m 18.1355s
Time = 94.1569, inc = 95/600, computation time left = 0d 4h 16m 26.3522s
Time = 95.1586, inc = 96/600, computation time left = 0d 4h 15m 20.6532s
Time = 141.2354, inc = 142/600, computation time left = 0d 2h 37m 12.466s
Time = 96.1603, inc = 97/600, computation time left = 0d 4h 14m 39.2287s
Time = 142.2371, inc = 143/600, computation time left = 0d 2h 37m 23.458s
Time = 97.1619, inc = 98/600, computation time left = 0d 4h 13m 44.6875s
Time = 143.2387, inc = 144/600, computation time left = 0d 2h 37m 42.1049s
Time = 98.1636, inc = 99/600, computation time left = 0d 4h 13m 27.4564s
Time = 144.2404, inc = 145/600, computation time left = 0d 2h 37m 33.5762s
Time = 99.1653, inc = 100/600, computation time left = 0d 4h 12m 32.0735s
Time = 145.2421, inc = 146/600, computation time left = 0d 2h 37m 27.4822s
Time = 100.1669, inc = 101/600, computation time left = 0d 4h 12m 0.6995s
Time = 146.2437, inc = 147/600, computation time left = 0d 2h 37m 25.5619s
Time = 101.1686, inc = 102/600, computation time left = 0d 4h 10m 59.2083s
Time = 147.2454, inc = 148/600, computation time left = 0d 2h 37m 25.1481s
Time = 102.1703, inc = 103/600, computation time left = 0d 4h 10m 50.5439s
Time = 148.2471, inc = 149/600, computation time left = 0d 2h 37m 34.7342s
Time = 103.172, inc = 104/600, computation time left = 0d 4h 10m 19.8329s
Time = 149.2487, inc = 150/600, computation time left = 0d 2h 38m 13.3745s
Time = 104.1736, inc = 105/600, computation time left = 0d 4h 9m 51.626s
Time = 105.1753, inc = 106/600, computation time left = 0d 4h 9m 20.1911s
Time = 150.2504, inc = 151/600, computation time left = 0d 2h 39m 8.5385s
Time = 106.177, inc = 107/600, computation time left = 0d 4h 8m 54.1853s
Time = 151.2521, inc = 152/600, computation time left = 0d 2h 40m 9.0581s
Time = 107.1786, inc = 108/600, computation time left = 0d 4h 8m 18.9614s
Time = 108.1803, inc = 109/600, computation time left = 0d 4h 8m 2.7994s
Time = 152.2538, inc = 153/600, computation time left = 0d 2h 40m 58.0361s
Time = 153.2554, inc = 154/600, computation time left = 0d 2h 40m 55.6519s
Time = 109.182, inc = 110/600, computation time left = 0d 4h 8m 37.6282s
Time = 154.2571, inc = 155/600, computation time left = 0d 2h 41m 11.5386s
